Target Distance:50, Step Size: 2
0: (x, y) = (19.0506, 2.51259)
0: (x, y) = (18.1738, 4.31018)
0: (x, y) = (18.3481, 2.31779)
0: (x, y) = (18.798, 0.369046)
0: (x, y) = (20.5956, 1.24579)
0: (x, y) = (18.7046, 1.89692)
0: (x, y) = (20.5717, 2.61366)
0: (x, y) = (18.9334, 3.76081)
0: (x, y) = (16.9334, 3.76081)
0: (x, y) = (18.2717, 5.2471)
0: (x, y) = (20.1738, 4.62907)
0: (x, y) = (21.8121, 5.77622)
0: (x, y) = (22.8121, 7.50827)
0: (x, y) = (21.5265, 9.04036)
0: (x, y) = (19.9723, 10.299)
0: (x, y) = (18.2949, 11.3883)
0: (x, y) = (19.2339, 9.62239)
0: (x, y) = (19.5811, 11.592)
0: (x, y) = (18.4628, 13.2501)
0: (x, y) = (17.8116, 11.359)
0: (x, y) = (19.489, 10.2698)
0: (x, y) = (17.5327, 10.6856)
0: (x, y) = (19.5178, 10.9293)
0: (x, y) = (18.1284, 9.49064)
0: (x, y) = (16.3964, 10.4906)
0: (x, y) = (14.5838, 9.64541)
0: (x, y) = (16.3658, 8.73743)
0: (x, y) = (14.3685, 8.8421)
0: (x, y) = (13.6193, 10.6965)
0: (x, y) = (13.4798, 8.70134)
0: (x, y) = (15.0771, 9.90497)
0: (x, y) = (13.9015, 8.28693)
0: (x, y) = (12.6702, 6.71091)
0: (x, y) = (13.9823, 5.20149)
0: (x, y) = (14.4322, 3.25275)
0: (x, y) = (13.3429, 4.93009)
0: (x, y) = (11.9536, 6.36877)
0: (x, y) = (10.0626, 5.71764)
0: (x, y) = (8.26499, 6.59438)
0: (x, y) = (6.85077, 8.00859)
0: (x, y) = (6.92057, 6.00981)
0: (x, y) = (5.8905, 7.72415)
0: (x, y) = (6.8905, 5.99209)
0: (x, y) = (8.86011, 5.6448)
0: (x, y) = (8.7206, 7.63993)
0: (x, y) = (9.89617, 9.25796)
0: (x, y) = (11.2344, 7.77167)
0: (x, y) = (13.147, 7.18693)
0: (x, y) = (13.3561, 9.17597)
0: (x, y) = (15.3549, 9.24577)
0: (x, y) = (16.7936, 7.85645)
0: (x, y) = (18.3908, 6.65282)
0: (x, y) = (18.6346, 4.66773)
0: (x, y) = (18.7392, 6.66499)
0: (x, y) = (20.5213, 7.57297)
0: (x, y) = (18.7086, 8.41821)
0: (x, y) = (16.7099, 8.34841)
0: (x, y) = (15.7709, 10.1143)
0: (x, y) = (17.6934, 10.6656)
0: (x, y) = (19.6886, 10.8051)
0: (x, y) = (18.6287, 12.5012)
0: (x, y) = (19.9927, 13.9639)
0: (x, y) = (18.8743, 12.3058)
0: (x, y) = (17.02, 11.5566)
0: (x, y) = (18.7859, 12.4956)
0: (x, y) = (20.7422, 12.9114)
0: (x, y) = (18.9295, 12.0661)
0: (x, y) = (18.3448, 13.9787)
0: (x, y) = (19.19, 15.7914)
0: (x, y) = (20.8861, 14.7315)
0: (x, y) = (19.4234, 13.3675)
0: (x, y) = (20.599, 14.9856)
0: (x, y) = (22.5116, 14.4008)
0: (x, y) = (22.4767, 12.4011)
0: (x, y) = (24.4618, 12.6449)
0: (x, y) = (26.0798, 13.8204)
0: (x, y) = (27.9924, 14.4052)
0: (x, y) = (26.3541, 13.258)
0: (x, y) = (26.77, 15.2143)
0: (x, y) = (24.8573, 14.6296)
0: (x, y) = (23.143, 15.6596)
0: (x, y) = (21.8309, 17.1691)
0: (x, y) = (21.9704, 15.1739)
0: (x, y) = (20.3123, 14.0556)
0: (x, y) = (20.417, 16.0528)
0: (x, y) = (22.3803, 15.6712)
0: (x, y) = (21.7955, 17.5838)
0: (x, y) = (23.1848, 16.1451)
0: (x, y) = (21.5876, 17.3488)
0: (x, y) = (19.6313, 16.9329)
0: (x, y) = (21.4984, 17.6497)
0: (x, y) = (23.4005, 17.0316)
0: (x, y) = (25.3231, 16.4804)
0: (x, y) = (24.1475, 18.0984)
0: (x, y) = (25.2946, 16.4601)
0: (x, y) = (26.6068, 17.9695)
0: (x, y) = (28.4739, 17.2528)
0: (x, y) = (28.8897, 15.2965)
0: (x, y) = (29.735, 17.1091)
0: (x, y) = (28.6166, 18.7672)
0: (x, y) = (29.8479, 20.3432)
0: (x, y) = (28.9712, 22.1408)
0: (x, y) = (30.9663, 22.2803)
0: (x, y) = (30.792, 24.2727)
0: (x, y) = (31.3433, 26.1952)
0: (x, y) = (30.792, 24.2727)
0: (x, y) = (30.9315, 26.2678)
0: (x, y) = (32.8878, 26.6836)
0: (x, y) = (31.2105, 25.5944)
0: (x, y) = (31.1058, 27.5916)
0: (x, y) = (29.4097, 28.6515)
0: (x, y) = (31.3948, 28.8952)
0: (x, y) = (32.1115, 27.028)
0: (x, y) = (33.2871, 25.41)
0: (x, y) = (33.6687, 27.3732)
0: (x, y) = (35.6675, 27.3035)
0: (x, y) = (33.687, 27.5818)
0: (x, y) = (33.7916, 25.5845)
0: (x, y) = (35.7913, 25.5496)
0: (x, y) = (35.513, 23.5691)
0: (x, y) = (33.5497, 23.1875)
0: (x, y) = (32.833, 21.3203)
0: (x, y) = (31.8029, 23.0347)
0: (x, y) = (32.6164, 21.2076)
0: (x, y) = (32.2691, 23.1772)
0: (x, y) = (33.5277, 21.6229)
0: (x, y) = (35.2936, 22.5618)
0: (x, y) = (36.6319, 21.0755)
0: (x, y) = (34.8193, 21.9208)
0: (x, y) = (35.063, 23.9059)
0: (x, y) = (36.8901, 23.0924)
0: (x, y) = (37.6068, 24.9596)
0: (x, y) = (39.5556, 25.4095)
0: (x, y) = (39.2427, 27.3848)
0: (x, y) = (40.581, 25.8985)
0: (x, y) = (40.0971, 23.958)
0: (x, y) = (39.5458, 25.8805)
0: (x, y) = (39.6854, 23.8853)
0: (x, y) = (38.1093, 22.654)
0: (x, y) = (37.6935, 24.6103)
0: (x, y) = (39.6631, 24.9576)
0: (x, y) = (37.7068, 25.3734)
0: (x, y) = (37.0557, 27.2645)
0: (x, y) = (35.3784, 26.1752)
0: (x, y) = (33.6125, 27.1141)
0: (x, y) = (34.5514, 28.88)
0: (x, y) = (34.9672, 26.9237)
0: (x, y) = (35.2456, 28.9043)
0: (x, y) = (35.7294, 26.9637)
0: (x, y) = (33.7489, 27.242)
0: (x, y) = (32.5733, 28.8601)
0: (x, y) = (33.2245, 30.7511)
0: (x, y) = (35.147, 30.1998)
0: (x, y) = (33.4889, 31.3182)
0: (x, y) = (32.4588, 29.6039)
0: (x, y) = (33.4284, 31.3531)
0: (x, y) = (31.4434, 31.5969)
0: (x, y) = (32.2248, 29.7558)
0: (x, y) = (30.6927, 28.4703)
0: (x, y) = (30.9711, 26.4897)
0: (x, y) = (29.7955, 28.1078)
0: (x, y) = (29.4826, 26.1324)
0: (x, y) = (27.6283, 25.3832)
0: (x, y) = (25.879, 26.3528)
0: (x, y) = (25.2943, 24.4402)
0: (x, y) = (27.2915, 24.3355)
0: (x, y) = (26.9442, 26.3051)
0: (x, y) = (28.9366, 26.1308)
0: (x, y) = (26.9515, 26.3746)
0: (x, y) = (26.2675, 24.4952)
0: (x, y) = (24.2678, 24.5301)
0: (x, y) = (22.5905, 25.6194)
0: (x, y) = (21.1762, 24.2051)
0: (x, y) = (21.5579, 26.1684)
0: (x, y) = (19.6668, 25.5173)
0: (x, y) = (21.6641, 25.4126)
0: (x, y) = (22.3808, 23.5454)
0: (x, y) = (21.897, 25.486)
0: (x, y) = (21.2789, 27.3881)
0: (x, y) = (19.4663, 28.2334)
0: (x, y) = (17.6843, 27.3254)
0: (x, y) = (17.406, 25.3449)
0: (x, y) = (16.1473, 26.8991)
0: (x, y) = (18.0879, 27.383)
0: (x, y) = (18.1577, 29.3818)
0: (x, y) = (16.7937, 27.9191)
0: (x, y) = (18.2079, 29.3333)
0: (x, y) = (16.2383, 29.6806)
0: (x, y) = (17.442, 28.0833)
0: (x, y) = (19.018, 29.3146)
0: (x, y) = (17.0289, 29.1056)
0: (x, y) = (16.994, 31.1053)
0: (x, y) = (18.6323, 32.2524)
0: (x, y) = (19.5403, 30.4704)
0: (x, y) = (21.1163, 31.7017)
0: (x, y) = (20.1163, 29.9697)
0: (x, y) = (21.9835, 30.6864)
0: (x, y) = (20.3452, 31.8336)
0: (x, y) = (21.2219, 33.6312)
0: (x, y) = (23.2219, 33.6312)
0: (x, y) = (22.9091, 31.6558)
0: (x, y) = (20.9394, 31.3085)
0: (x, y) = (19.9394, 29.5764)
0: (x, y) = (20.8784, 27.8105)
0: (x, y) = (20.3945, 25.8699)
0: (x, y) = (20.0473, 27.8396)
0: (x, y) = (19.1083, 26.0737)
0: (x, y) = (17.6456, 27.4377)
0: (x, y) = (18.1294, 29.3783)
0: (x, y) = (16.6908, 30.7676)
0: (x, y) = (18.6832, 30.9419)
0: (x, y) = (17.9339, 29.0875)
0: (x, y) = (17.0572, 30.8851)
0: (x, y) = (17.6419, 28.9725)
0: (x, y) = (19.3193, 27.8832)
0: (x, y) = (17.5217, 28.76)
0: (x, y) = (16.1075, 27.3457)
0: (x, y) = (14.2804, 28.1592)
0: (x, y) = (15.7431, 29.5232)
0: (x, y) = (16.4598, 31.3904)
0: (x, y) = (17.0111, 29.4679)
0: (x, y) = (16.0111, 31.1999)
0: (x, y) = (16.2548, 29.2148)
0: (x, y) = (15.771, 31.1554)
0: (x, y) = (14.8321, 29.3895)
0: (x, y) = (13.8624, 31.1387)
0: (x, y) = (15.7535, 30.4876)
0: (x, y) = (13.7644, 30.2786)
0: (x, y) = (15.0231, 31.8328)
0: (x, y) = (15.8998, 33.6304)
0: (x, y) = (14.8105, 35.3078)
0: (x, y) = (15.2604, 37.2565)
0: (x, y) = (13.3117, 36.8066)
0: (x, y) = (11.3798, 37.3242)
0: (x, y) = (11.3798, 39.3242)
0: (x, y) = (13.375, 39.4638)
0: (x, y) = (12.6258, 37.6094)
0: (x, y) = (14.375, 38.579)
0: (x, y) = (16.216, 39.3605)
0: (x, y) = (14.3366, 40.0445)
0: (x, y) = (12.8272, 41.3566)
0: (x, y) = (13.887, 39.6605)
0: (x, y) = (11.887, 39.6605)
0: (x, y) = (13.7997, 40.2453)
0: (x, y) = (12.1223, 39.156)
0: (x, y) = (11.3088, 37.3289)
0: (x, y) = (10.3088, 35.5969)
0: (x, y) = (12.3012, 35.4225)
0: (x, y) = (14.1422, 34.6411)
0: (x, y) = (15.3736, 36.2171)
0: (x, y) = (13.4715, 36.8351)
0: (x, y) = (13.5064, 34.8354)
0: (x, y) = (13.7847, 32.8549)
0: (x, y) = (14.7543, 31.1057)
0: (x, y) = (15.9299, 32.7237)
0: (x, y) = (16.4137, 34.6643)
0: (x, y) = (14.8594, 33.4057)
0: (x, y) = (14.9641, 35.4029)
0: (x, y) = (16.0534, 33.7256)
0: (x, y) = (14.1215, 34.2432)
0: (x, y) = (15.7989, 35.3325)
0: (x, y) = (15.1148, 33.4531)
0: (x, y) = (13.5606, 34.7117)
0: (x, y) = (11.638, 35.263)
0: (x, y) = (13.638, 35.263)
0: (x, y) = (15.1923, 34.0044)
0: (x, y) = (14.1923, 32.2723)
0: (x, y) = (13.2227, 34.0216)
0: (x, y) = (14.8808, 35.14)
0: (x, y) = (15.8504, 33.3907)
0: (x, y) = (17.5085, 32.2723)
0: (x, y) = (17.1956, 34.2477)
0: (x, y) = (16.9865, 32.2587)
0: (x, y) = (16.4353, 34.1812)
0: (x, y) = (15.2597, 32.5632)
0: (x, y) = (13.3576, 31.9451)
0: (x, y) = (15.1702, 32.7904)
0: (x, y) = (16.3738, 34.3876)
0: (x, y) = (17.0579, 36.267)
0: (x, y) = (17.9968, 34.5011)
0: (x, y) = (16.1424, 33.7519)
0: (x, y) = (15.5244, 35.654)
0: (x, y) = (15.8028, 37.6346)
0: (x, y) = (13.8331, 37.2873)
0: (x, y) = (12.7439, 38.9646)
0: (x, y) = (11.4583, 37.4325)
0: (x, y) = (10.8072, 39.3235)
0: (x, y) = (12.6198, 38.4783)
0: (x, y) = (14.0091, 39.917)
0: (x, y) = (14.0789, 37.9182)
0: (x, y) = (15.4682, 36.4795)
0: (x, y) = (17.3092, 37.261)
0: (x, y) = (18.9065, 38.4646)
0: (x, y) = (20.8383, 38.9823)
0: (x, y) = (21.4231, 37.0696)
0: (x, y) = (22.8618, 38.459)
0: (x, y) = (24.0931, 36.8829)
0: (x, y) = (22.1368, 36.4671)
0: (x, y) = (21.7552, 34.5039)
0: (x, y) = (22.2051, 36.4526)
0: (x, y) = (20.3925, 35.6074)
0: (x, y) = (18.5514, 36.3888)
0: (x, y) = (18.4119, 38.384)
0: (x, y) = (16.4195, 38.2096)
0: (x, y) = (17.201, 40.0507)
0: (x, y) = (15.36, 39.2692)
0: (x, y) = (14.8087, 37.3467)
0: (x, y) = (15.6855, 39.1443)
0: (x, y) = (13.7367, 38.6944)
0: (x, y) = (12.3474, 37.2557)
0: (x, y) = (13.8568, 35.9436)
0: (x, y) = (11.9442, 35.3588)
0: (x, y) = (9.94452, 35.3937)
0: (x, y) = (9.35978, 33.4811)
0: (x, y) = (11.0918, 32.4811)
0: (x, y) = (12.7301, 31.334)
0: (x, y) = (13.4469, 33.2011)
0: (x, y) = (11.4481, 33.2709)
0: (x, y) = (10.2445, 31.6736)
0: (x, y) = (10.0701, 29.6813)
0: (x, y) = (12.0625, 29.5069)
0: (x, y) = (10.9733, 31.1843)
0: (x, y) = (9.19124, 32.0923)
0: (x, y) = (9.33076, 30.0971)
0: (x, y) = (7.33837, 29.9228)
0: (x, y) = (9.32346, 30.1666)
0: (x, y) = (10.8778, 28.9079)
0: (x, y) = (12.8765, 28.8381)
0: (x, y) = (11.7581, 30.4962)
0: (x, y) = (12.0019, 32.4813)
0: (x, y) = (10.0613, 31.9975)
0: (x, y) = (12.0245, 31.6158)
0: (x, y) = (12.6426, 29.7137)
0: (x, y) = (10.6575, 29.9575)
0: (x, y) = (12.638, 30.2358)
0: (x, y) = (13.6979, 31.9319)
0: (x, y) = (12.5795, 33.59)
0: (x, y) = (12.1637, 31.6337)
0: (x, y) = (11.9199, 33.6188)
0: (x, y) = (13.4062, 32.2805)
0: (x, y) = (14.1229, 30.4134)
0: (x, y) = (13.4389, 32.2927)
0: (x, y) = (15.3876, 31.8428)
0: (x, y) = (15.7693, 33.8061)
0: (x, y) = (14.8925, 35.6037)
0: (x, y) = (14.5452, 37.5733)
0: (x, y) = (13.9939, 39.4958)
0: (x, y) = (14.5787, 41.4084)
0: (x, y) = (16.4581, 42.0925)
0: (x, y) = (17.9675, 40.7803)
0: (x, y) = (16.1131, 40.0311)
0: (x, y) = (14.2005, 40.6159)
0: (x, y) = (12.3461, 39.8667)
0: (x, y) = (11.3765, 38.1174)
0: (x, y) = (10.5631, 39.9445)
0: (x, y) = (12.5036, 40.4284)
0: (x, y) = (11.8525, 38.5373)
0: (x, y) = (12.9418, 40.2147)
0: (x, y) = (13.3576, 38.2584)
0: (x, y) = (11.8949, 39.6224)
0: (x, y) = (10.6636, 41.1984)
0: (x, y) = (12.5657, 41.8164)
0: (x, y) = (11.0794, 40.4782)
0: (x, y) = (13.0019, 39.9269)
0: (x, y) = (11.3246, 38.8376)
0: (x, y) = (10.5431, 40.6786)
0: (x, y) = (12.4225, 39.9946)
0: (x, y) = (12.9738, 38.0721)
0: (x, y) = (11.6617, 39.5815)
0: (x, y) = (13.6614, 39.5466)
0: (x, y) = (13.1101, 41.4691)
0: (x, y) = (11.6959, 40.0549)
0: (x, y) = (13.0341, 38.5686)
0: (x, y) = (14.8468, 39.4138)
0: (x, y) = (12.8471, 39.4487)
0: (x, y) = (11.6999, 41.087)
0: (x, y) = (11.8742, 43.0794)
0: (x, y) = (11.8044, 45.0782)
0: (x, y) = (9.97733, 44.2647)
0: (x, y) = (9.63003, 42.2951)
0: (x, y) = (10.5068, 40.4975)
0: (x, y) = (12.504, 40.3929)
0: (x, y) = (13.3493, 42.2055)
0: (x, y) = (12.4725, 44.0031)
0: (x, y) = (12.9224, 42.0543)
0: (x, y) = (11.3044, 40.8787)
0: (x, y) = (9.8181, 39.5405)
0: (x, y) = (9.30046, 41.4723)
0: (x, y) = (10.0172, 43.3395)
0: (x, y) = (10.0172, 41.3395)
0: (x, y) = (8.01751, 41.3744)
0: (x, y) = (9.88467, 42.0911)
0: (x, y) = (8.11877, 43.0301)
0: (x, y) = (6.97162, 44.6684)
0: (x, y) = (7.00652, 42.6687)
0: (x, y) = (5.45223, 43.9273)
0: (x, y) = (6.65586, 42.3301)
0: (x, y) = (8.65312, 42.4347)
0: (x, y) = (6.88722, 41.4958)
0: (x, y) = (5.3112, 42.7271)
0: (x, y) = (7.3112, 42.7271)
0: (x, y) = (8.88722, 41.4958)
0: (x, y) = (10.7893, 42.1138)
0: (x, y) = (10.0401, 43.9682)
0: (x, y) = (10.1099, 41.9694)
0: (x, y) = (8.12483, 41.7257)
0: (x, y) = (6.37559, 42.6953)
0: (x, y) = (8.08993, 41.6652)
0: (x, y) = (10.0887, 41.5954)
0: (x, y) = (11.9681, 42.2795)
0: (x, y) = (12.6848, 44.1466)
0: (x, y) = (12.372, 42.1712)
0: (x, y) = (10.9093, 43.5352)
0: (x, y) = (11.0836, 41.5428)
0: (x, y) = (9.08478, 41.473)
0: (x, y) = (10.834, 42.4427)
0: (x, y) = (11.2498, 44.399)
0: (x, y) = (11.5971, 46.3686)
0: (x, y) = (12.081, 44.428)
0: (x, y) = (13.7193, 43.2808)
0: (x, y) = (11.9217, 42.4041)
0: (x, y) = (11.3704, 40.4816)
0: (x, y) = (12.7846, 39.0674)
0: (x, y) = (13.3359, 40.9899)
0: (x, y) = (11.5088, 40.1764)
0: (x, y) = (10.1448, 38.7137)
0: (x, y) = (11.3762, 40.2897)
0: (x, y) = (9.68005, 39.2299)
0: (x, y) = (7.81289, 38.5131)
0: (x, y) = (6.78282, 40.2275)
0: (x, y) = (5.3686, 41.6417)
0: (x, y) = (3.58659, 42.5497)
0: (x, y) = (1.74558, 41.7682)
0: (x, y) = (3.00422, 43.3225)
0: (x, y) = (3.88096, 45.1201)
0: (x, y) = (4.05528, 43.1277)
0: (x, y) = (2.52319, 41.8421)
0: (x, y) = (4.51558, 41.6678)
0: (x, y) = (2.52653, 41.8769)
0: (x, y) = (1.04024, 43.2151)
0: (x, y) = (3.03994, 43.1802)
0: (x, y) = (2.45519, 45.0928)
0: (x, y) = (4.43573, 45.3712)
0: (x, y) = (2.51321, 45.9225)
0: (x, y) = (3.38995, 44.1249)
0: (x, y) = (4.10669, 42.2577)
0: (x, y) = (2.34079, 43.1967)
0: (x, y) = (4.10669, 42.2577)
0: (x, y) = (6.10181, 42.1182)
0: (x, y) = (7.69908, 40.9146)
0: (x, y) = (6.60981, 39.2372)
0: (x, y) = (6.64471, 41.2369)
0: (x, y) = (4.6751, 40.8896)
0: (x, y) = (4.77977, 38.8924)
0: (x, y) = (3.22548, 37.6337)
0: (x, y) = (1.27674, 37.1838)
0: (x, y) = (-0.7038, 37.4622)
0: (x, y) = (-2.01592, 35.9528)
0: (x, y) = (-2.15543, 37.9479)
0: (x, y) = (-2.43378, 35.9673)
0: (x, y) = (-1.5258, 34.1853)
0: (x, y) = (-1.35148, 32.1929)
0: (x, y) = (-2.98979, 31.0458)
0: (x, y) = (-2.14455, 29.2332)
0: (x, y) = (-0.277392, 29.9499)
0: (x, y) = (-1.24701, 28.2007)
0: (x, y) = (-2.53259, 26.6686)
0: (x, y) = (-1.14327, 25.2299)
0: (x, y) = (-2.08221, 23.464)
0: (x, y) = (-4.0228, 22.9802)
0: (x, y) = (-4.77202, 24.8345)
0: (x, y) = (-5.48875, 22.9674)
0: (x, y) = (-4.87072, 24.8695)
0: (x, y) = (-3.4814, 23.4308)
0: (x, y) = (-2.96376, 25.3627)
0: (x, y) = (-1.67819, 26.8947)
0: (x, y) = (-1.71309, 28.8944)
0: (x, y) = (-3.71279, 28.9293)
0: (x, y) = (-5.47868, 27.9904)
0: (x, y) = (-7.41054, 27.4728)
0: (x, y) = (-5.99632, 26.0585)
0: (x, y) = (-4.44203, 27.3172)
0: (x, y) = (-5.44203, 29.0492)
0: (x, y) = (-6.72761, 27.5171)
0: (x, y) = (-5.69753, 25.8028)
0: (x, y) = (-6.41427, 27.67)
0: (x, y) = (-5.89663, 29.6018)
0: (x, y) = (-5.58376, 31.5772)
0: (x, y) = (-7.34965, 32.5161)
0: (x, y) = (-8.43893, 34.1935)
0: (x, y) = (-6.48264, 33.7777)
0: (x, y) = (-4.51302, 34.125)
0: (x, y) = (-4.0972, 32.1687)
0: (x, y) = (-6.08229, 31.9249)
0: (x, y) = (-7.545, 33.2889)
0: (x, y) = (-5.5453, 33.3238)
0: (x, y) = (-3.58901, 32.908)
0: (x, y) = (-5.24708, 31.7896)
0: (x, y) = (-5.42139, 29.7972)
0: (x, y) = (-7.15344, 30.7972)
0: (x, y) = (-7.18835, 32.7969)
0: (x, y) = (-5.36126, 31.9835)
0: (x, y) = (-6.33088, 33.7327)
0: (x, y) = (-6.12182, 35.7217)
0: (x, y) = (-5.03254, 37.3991)
0: (x, y) = (-4.38141, 35.508)
0: (x, y) = (-5.06545, 37.3874)
0: (x, y) = (-3.40737, 36.269)
0: (x, y) = (-1.78934, 35.0935)
0: (x, y) = (-0.350658, 33.7042)
0: (x, y) = (-2.32603, 33.3913)
0: (x, y) = (-0.528446, 34.268)
0: (x, y) = (0.471554, 36.0001)
0: (x, y) = (-0.840564, 34.4907)
0: (x, y) = (-1.77951, 36.2566)
0: (x, y) = (-2.86879, 37.9339)
0: (x, y) = (-4.1809, 39.4433)
0: (x, y) = (-6.12964, 39.8932)
0: (x, y) = (-4.22753, 40.5112)
